Title,Video url,Duration in minutes
Frozen - For The First Time In Forever (Idina Menzel and Kristen Bell) (Karaoke Version),https://www.youtube.com/watch?v=rmQ_n0rJ7JE,4.02
Michael Jackson - Billie Jean (Karaoke Version),https://www.youtube.com/watch?v=eXqBhDAlVCc,5.62
Leona Lewis - Bleeding Love (Valentine's Day Karaoke),https://www.youtube.com/watch?v=BsjLCISj4kU,4.77
Anne Marie - 2002 (Karaoke Version),https://www.youtube.com/watch?v=xb3oMef3hnc,3.4
Christina Perri - Human (Karaoke Version),https://www.youtube.com/watch?v=yqubSu9RbSM,4.53
Ariana Grande ft. Nicki Minaj - Side To Side (Karaoke Version),https://www.youtube.com/watch?v=GlkwnJTIrcI,4.38
Lionel Richie & Diana Ross - Endless Love (Karaoke Version),https://www.youtube.com/watch?v=yYgFs1_BUV0,4.63
Melanie Martinez - Dollhouse (Karaoke Version),https://www.youtube.com/watch?v=Ic76QuFskME,4.18
Foreigner - I Want To Know What Love Is (Karaoke Version),https://www.youtube.com/watch?v=p1r1DHgYm9Y,5.12
Carrie Underwood - Before He Cheats (Karaoke Version),https://www.youtube.com/watch?v=AqYrOoZpsjg,3.65
Shakira - Waka Waka (This Time For Africa) (Karaoke Version),https://www.youtube.com/watch?v=DHXrbMX7fPw,3.73
Jessie J - Domino (Karaoke Version),https://www.youtube.com/watch?v=GZ_ROLrdvPI,4.23
The Righteous Brothers - Unchained Melody (Karaoke Version),https://www.youtube.com/watch?v=dqIzep89HBw,3.88
Billie Eilish - when the party's over (Karaoke Version),https://www.youtube.com/watch?v=sluLx2JlLqw,3.38
Billie Eilish - when the party's over (Karaoke Version),https://www.youtube.com/watch?v=sluLx2JlLqw,3.38
Ariana Grande ft. Nathan Sykes - Almost Is Never Enough (Karaoke Version),https://www.youtube.com/watch?v=4G4tntY30Qw,3.78
Frozen 2 - Show Yourself (Karaoke Version),https://www.youtube.com/watch?v=zGqZZQablfY,4.68
The Neighbourhood - Sweater Weather (Karaoke Version),https://www.youtube.com/watch?v=0k91tvnkmMc,4.3
